"ISIC REV. 4 - NACE REV. 2",,
"Source","Target"
"3290","32.91"
"3290","32.99"
"33","33"
"331","33.1"
"3311","33.11"
"3312","33.12"
"3313","33.13"
"3314","33.14"
"3315","33.15"
"3315","33.16"
"3315","33.17"
"3319","33.19"
"332","33.2"
"3320","33.20"
"D","D"
"35","35"
"351","35.1"
"3510","35.11"
"3510","35.12"
"3510","35.13"
"3510","35.14"
"352","35.2"
"3520","35.21"
"3520","35.22"
"3520","35.23"
"353","35.3"
"3530","35.30"
"E","E"
"36","36"
"360","36.0"
"3600","36.00"
"37","37"
"370","37.0"
"3700","37.00"
"38","38"
"381","38.1"
"3811","38.11"
"3812","38.12"
"382","38.2"
"3821","38.21"
"3822","38.22"
"383","38.3"
"3830","38.31"
"3830","38.32"
"39","39"
"390","39.0"
"3900","39.00"
"F","F"
"41","41"
"410","41.1"
"410","41.2"
"4100","41.10"
"4100","41.20"
"42","42"
"421","42.1"
"4210","42.11"
"4210","42.12"
"4210","42.13"
"422","42.2"
"4220","42.21"
"4220","42.22"
"429","42.9"
"4290","42.91"
"4290","42.99"
"43","43"
"431","43.1"
"4311","43.11"
"4312","43.12"
"4312","43.13"
"432","43.2"
"4321","43.21"
"4322","43.22"
"4329","43.29"
"433","43.3"
"4330","43.31"
"4330","43.32"
"4330","43.33"
"4330","43.34"
"4330","43.39"
"439","43.9"
"4390","43.91"
"4390","43.99"
"G","G"
"45","45"
"451","45.1"
"4510","45.11"
"4510","45.19"
"452","45.2"
"4520","45.20"
"453","45.3"
"4530","45.31"
"4530","45.32"
"454","45.4"
"4540","45.40"
"46","46"
"461","46.1"
"4610","46.11"
"4610","46.12"
"4610","46.13"
"4610","46.14"
"4610","46.15"
"4610","46.16"
"4610","46.17"
"4610","46.18"
"4610","46.19"
"462","46.2"
"4620","46.21"
"4620","46.22"
"4620","46.23"
"4620","46.24"
"463","46.3"
"4630","46.31"
"4630","46.32"
"4630","46.33"
"4630","46.34"
"4630","46.35"
"4630","46.36"
"4630","46.37"
"4630","46.38"
"4630","46.39"
"464","46.4"
"4641","46.41"
"4641","46.42"
"4649","46.43"
"4649","46.44"
"4649","46.45"
"4649","46.46"
"4649","46.47"
"4649","46.48"
"4649","46.49"
"465","46.5"
"4651","46.51"
"4652","46.52"
"4653","46.61"
"4659","46.62"
"4659","46.63"
"4659","46.64"
"4659","46.65"
"4659","46.66"
"4659","46.69"
"466","46.6"
"466","46.7"
"4661","46.71"
"4662","46.72"
"4663","46.73"
"4663","46.74"
"4669","46.75"
"4669","46.76"
"4669","46.77"
"469","46.9"
"4690","46.90"
"47","47"
"471","47.1"
"4711","47.11"
"4719","47.19"
"472","47.2"
"4721","47.21"
"4721","47.22"
"4721","47.23"
"4721","47.24"
"4721","47.29"
"4722","47.25"
"4723","47.26"
"473","47.3"
"4730","47.30"
"474","47.4"
"4741","47.41"
"4741","47.42"
"4742","47.43"
"475","47.5"
"4751","47.51"
"4752","47.52"
"4753","47.53"
"4759","47.54"
"4759","47.59"
"476","47.6"
"4761","47.61"
"4761","47.62"
"4762","47.63"
"4763","47.64"
"4764","47.65"
"477","47.7"
"4771","47.71"
"4771","47.72"
"4772","47.73"
"4772","47.74"
"4772","47.75"
"4773","47.76"
"4773","47.77"
"4773","47.78"
"4774","47.79"
"478","47.8"
"4781","47.81"
"4782","47.82"
"4789","47.89"
"479","47.9"
"4791","47.91"
"4799","47.99"
"H","H"
"49","49"
"491","49.1"
"491","49.2"
"4911","49.10"
"4912","49.20"
"492","49.3"
"492","49.4"
"4921","49.31"
"4922","49.32"
"4922","49.39"
"4923","49.41"
"4923","49.42"
"493","49.5"
"4930","49.50"
"50","50"
"501","50.1"
"501","50.2"
"5011","50.10"
"5012","50.20"
"502","50.3"
"502","50.4"
"5021","50.30"
"5022","50.40"
"51","51"
"511","51.1"
"5110","51.10"
"512","51.2"
"5120","51.21"
"5120","51.22"
"52","52"
"521","52.1"
"5210","52.10"
"522","52.2"
"5221","52.21"
"5222","52.22"
"5223","52.23"
"5224","52.24"
"5229","52.29"
"53","53"
"531","53.1"
"5310","53.10"
"532","53.2"
"5320","53.20"
"I","I"
"55","55"
"551","55.1"
"551","55.2"
"5510","55.10"
"5510","55.20"
"552","55.3"
"5520","55.30"
"559","55.9"
"5590","55.90"
"56","56"
"561","56.1"
"5610","56.10"
"562","56.2"
"5621","56.21"
"5629","56.29"
"563","56.3"
"5630","56.30"
"J","J"
"58","58"
"581","58.1"
"5811","58.11"
"5812","58.12"
"5813","58.13"
"5813","58.14"
"5819","58.19"
"582","58.2"
"5820","58.21"
"5820","58.29"
"59","59"
"591","59.1"
"5911","59.11"
"5912","59.12"
"5913","59.13"
"5914","59.14"
"592","59.2"
"5920","59.20"
"60","60"
"601","60.1"
"6010","60.10"
"602","60.2"
"6020","60.20"
"61","61"
"611","61.1"
"6110","61.10"
"612","61.2"
"6120","61.20"
"613","61.3"
"6130","61.30"
"619","61.9"
"6190","61.90"
"62","62"
"620","62.0"
"6201","62.01"
"6202","62.02"
"6202","62.03"
"6209","62.09"
"63","63"
"631","63.1"
"6311","63.11"
"6312","63.12"
"639","63.9"
"6391","63.91"
"6399","63.99"
"K","K"
"64","64"
"641","64.1"
"6411","64.11"
"6419","64.19"
"642","64.2"
"6420","64.20"
"643","64.3"
"6430","64.30"
"649","64.9"
"6491","64.91"
"6492","64.92"
"6499","64.99"
"65","65"
"651","65.1"
"6511","65.11"
"6512","65.12"
"652","65.2"
"6520","65.20"
"653","65.3"
"6530","65.30"
"66","66"
"661","66.1"
"6611","66.11"
"6612","66.12"
"6619","66.19"
"662","66.2"
"6621","66.21"
"6622","66.22"
"6629","66.29"
"663","66.3"
"6630","66.30"
"L","L"
"68","68"
"681","68.1"
"681","68.2"
"6810","68.10"
"6810","68.20"
"682","68.3"
"6820","68.31"
"6820","68.32"
"M","M"
"69","69"
"691","69.1"
"6910","69.10"
"692","69.2"
"6920","69.20"
"70","70"
"701","70.1"
"7010","70.10"
"702","70.2"
"7020","70.21"
"7020","70.22"
"71","71"
"711","71.1"
"7110","71.11"
"7110","71.12"
"712","71.2"
"7120","71.20"
"72","72"
"721","72.1"
"7210","72.11"
"7210","72.19"
"722","72.2"
"7220","72.20"
"73","73"
"731","73.1"
"7310","73.11"
"7310","73.12"
"732","73.2"
"7320","73.20"
"74","74"
"741","74.1"
"7410","74.10"
"742","74.2"
"7420","74.20"
"749","74.3"
"749","74.9"
"7490","74.30"
"7490","74.90"
"75","75"
"750","75.0"
"7500","75.00"
"N","N"
"77","77"
"771","77.1"
"7710","77.11"
"7710","77.12"
"772","77.2"
"7721","77.21"
"7722","77.22"
"7729","77.29"
"773","77.3"
"7730","77.31"
"7730","77.32"
"7730","77.33"
"7730","77.34"
"7730","77.35"
"7730","77.39"
"774","77.4"
"7740","77.40"
"78","78"
"781","78.1"
"7810","78.10"
"782","78.2"
"7820","78.20"
"783","78.3"
"7830","78.30"
"79","79"
"791","79.1"
"7911","79.11"
"7912","79.12"
"799","79.9"
"7990","79.90"
"80","80"
"801","80.1"
"8010","80.10"
"802","80.2"
"8020","80.20"
"803","80.3"
"8030","80.30"
"81","81"
"811","81.1"
"8110","81.10"
"812","81.2"
"8121","81.21"
"8129","81.22"
"8129","81.29"
"813","81.3"
"8130","81.30"
"82","82"
"821","82.1"
"8211","82.11"
"8219","82.19"
"822","82.2"
"8220","82.20"
"823","82.3"
"8230","82.30"
"829","82.9"
"8291","82.91"
"8292","82.92"
"8299","82.99"
"O","O"
"84","84"
"841","84.1"
"8411","84.11"
"8412","84.12"
"8413","84.13"
"842","84.2"
"8421","84.21"
"8422","84.22"
"8423","84.23"
"8423","84.24"
"8423","84.25"
"843","84.3"
"8430","84.30"
"P","P"
"85","85"
"851","85.1"
"851","85.2"
"8510","85.10"
"8510","85.20"
"852","85.3"
"8521","85.31"
"8522","85.32"
"853","85.4"
"8530","85.41"
"8530","85.42"
"854","85.5"
"8541","85.51"
"8542","85.52"
"8549","85.53"
"8549","85.59"
"855","85.6"
"8550","85.60"
"Q","Q"
"86","86"
"861","86.1"
"8610","86.10"
"862","86.2"
"8620","86.21"
"8620","86.22"
"8620","86.23"
"869","86.9"
"8690","86.90"
"87","87"
"871","87.1"
"8710","87.10"
"872","87.2"
"8720","87.20"
"873","87.3"
"8730","87.30"
"879","87.9"
"8790","87.90"
"88","88"
"881","88.1"
"8810","88.10"
"889","88.9"
"8890","88.91"
"8890","88.99"
"R","R"
"90","90"
"900","90.0"
"9000","90.01"
"9000","90.02"
"9000","90.03"
"9000","90.04"
"91","91"
"910","91.0"
"9101","91.01"
"9102","91.02"
"9102","91.03"
"9103","91.04"
"92","92"
"920","92.0"
"9200","92.00"
"93","93"
"931","93.1"
"9311","93.11"
"9311","93.13"
"9312","93.12"
"9319","93.19"
"932","93.2"
"9321","93.21"
"9329","93.29"
"S","S"
"94","94"
"941","94.1"
"9411","94.11"
"9412","94.12"
"942","94.2"
"9420","94.20"
"949","94.9"
"9491","94.91"
"9492","94.92"
"9499","94.99"
"95","95"
"951","95.1"
"9511","95.11"
"9512","95.12"
"952","95.2"
"9521","95.21"
"9522","95.22"
"9523","95.23"
"9524","95.24"
"9529","95.25"
"9529","95.29"
"96","96"
"960","96.0"
"9601","96.01"
"9602","96.02"
"9603","96.03"
"9609","96.04"
"9609","96.09"
"T","T"
"97","97"
"970","97.0"
"9700","97.00"
"98","98"
"981","98.1"
"9810","98.10"
"982","98.2"
"9820","98.20"
"U","U"
"99","99"
"990","99.0"
"9900","99.00"
